WORD_norm	WORD	Transcription1	PerMilFreq	zipf	Length	AvePhonLength	n_syllables	H_GPC_word	H_PGC_word	H_GPC_grapheme_word	H_PGC_grapheme_word	H_GPC_onset_word	H_PGC_onset_word	H_GPC_rime_word	H_PGC_rime_word	H_GPC_OVC_word	H_PGC_OVC_word	OUF	OUB	OU	MAXOUF	MAXOUB	MINOUF	MINOUB	PUF	PUB	PU	MAXPUF	MAXPUB	MINPUF	MINPUB	OU_PU_Mismatch	OUF_PUF_Mismatch	OUB_PUB_Mismatch	SN_k25	SN_k50	Entropy_beta5	Entropy_beta10	Dispersion_k50	Hubness_k50	ClusteringCoeff_k25
ژنو	ژنو	ʒɛnɛv	29.329252	4.467301	3	5.0	2.0	0.0	0.0	0.63334	0.467508	0.0	0.000436	1.246784	0.619267	0.921352	7.450982	0.003612	0.043594	0.047206	0.008121	0.119438	0.000345	0.000275	0.002694	0.002404	0.005098	0.00709	0.011059	0.000239	0.000239	0.042108	0.000918	0.04119	25.0	50.0	0.977598	0.879269	0.004817	57.0	0.446667
ژولای	ژولای	ʒulɑy	1.680753	3.225504	5	5.0	2.0	0.0	0.0	0.763666	0.268076	0.001754	0.00168	1.051527	0.095494	1.310255	7.389781	0.002095	0.096596	0.098691	0.008121	0.394856	2e-05	2e-05	0.001785	0.012144	0.013929	0.00709	0.03899	1.7e-05	1.7e-05	0.084761	0.00031	0.084451	25.0	50.0	0.986023	0.950568	0.004743	104.0	0.743333
لاندری	لاندری	lɑndɛry	0.826874	2.91744	6	7.0	2.0	0.0	0.0	0.319959	0.369496	0.002612	0.002206	0.294355	0.100721	0.877312	7.819975	0.012386	0.081441	0.093826	0.058995	0.394856	1e-05	1e-05	0.010054	0.005619	0.015673	0.056862	0.03899	9e-06	9e-06	0.078154	0.002332	0.075822	14.0	14.0	0.965846	0.798897	0.005966	34.0	0.196667
ره	ره	rah	127.670736	5.106091	2	10.666667	3.666667	1.584963	0.0	0.491177	0.405908	0.001799	0.251676	2.871788	1.05536	1.05835	8.040921	0.074036	0.257334	0.33137	0.141799	0.407647	0.006273	0.107022	0.036057	0.02107	0.057126	0.147505	0.102088	0.00361	0.001431	0.274244	0.03798	0.236264	20.0	20.0	0.973593	0.857528	0.005742	24.0	0.403333
واگرنه	واگرنه	vaɡarna	0.346373	2.539545	6	7.0	3.0	0.0	0.0	0.658803	0.090114	0.007008	0.003094	0.852432	0.634679	0.724255	7.961217	0.026788	0.085033	0.111821	0.11145	0.407647	5e-06	5e-06	0.021123	0.000103	0.021226	0.101134	0.000652	4e-06	4e-06	0.090595	0.005665	0.08493	25.0	50.0	0.997856	0.990463	0.000601	37.0	0.28
ولتاژی	ولتاژی	vɔltɑʒɪ	0.928442	2.967755	6	7.0	2.0	0.0	0.0	0.636436	0.278299	0.010069	0.173393	0.740054	0.660421	0.747831	8.180405	0.0212	0.066376	0.087576	0.11145	0.394856	1.1e-05	1.1e-05	0.016929	1.1e-05	0.01694	0.101134	1.7e-05	1e-05	1e-05	0.070636	0.004271	0.066365	25.0	50.0	0.989727	0.942192	0.002233	85.0	0.273333
لیروی	لیروی	lirɔy	4.363151	3.6398	5	5.0	2.0	0.0	0.0	0.718709	0.405961	0.002654	0.00168	1.080854	0.177	1.411812	7.800148	0.014089	0.091712	0.1058	0.058995	0.394856	4.8e-05	4.8e-05	0.01341	0.008264	0.021674	0.056862	0.03899	4.2e-05	4.2e-05	0.084126	0.000679	0.083447							
چاوبی	چاوبی	çɑwbe	0.636812	2.804011	5	5.0	2.0	0.0	0.0	0.760815	0.296654	0.000674	0.0	0.786809	0.214555	0.992141	7.540417	0.019304	0.087354	0.106658	0.081605	0.394856	8e-06	8e-06	0.017768	0.004598	0.022366	0.075811	0.022373	7e-06	7e-06	0.084292	0.001536	0.082756							
لورلای	لورلای	lɔrɛlɑy	3.11619	3.493624	6	7.0	3.0	0.0	0.0	0.638852	0.466466	0.002939	0.00224	1.179489	0.618245	1.218362	7.937264	0.011629	0.08041	0.092039	0.058995	0.394856	3.5e-05	3.5e-05	0.01066	0.008651	0.019312	0.056862	0.03899	3e-05	3e-05	0.072727	0.000969	0.071758							
چپگرای	چپگرای	çapɡarɑy	0.899172	2.953843	6	8.0	3.0	0.0	0.0	0.318381	0.210501	0.001342	0.001144	1.109391	0.263458	1.11991	8.037134	0.014063	0.081614	0.095678	0.081605	0.394856	1.1e-05	1.1e-05	0.013591	0.007521	0.021112	0.075811	0.03899	1e-05	1e-05	0.074565	0.000472	0.074093	25.0	50.0	0.982207	0.921049	0.004653	147.0	0.513333
یخچالها	یخچالها	yaxçɑlha	0.619262	2.791874	7	8.0	3.0	0.0	0.0	0.566547	0.342826	0.239627	0.248902	1.102453	0.849747	0.744353	8.037134	0.011747	0.036687	0.048434	0.078641	0.196007	2.2e-05	8e-06	0.010926	9.8e-05	0.011023	0.07264	0.000652	1.9e-05	7e-06	0.037411	0.000822	0.036589	25.0	50.0	0.992563	0.959932	0.00176	43.0	0.346667
لله	لله	lɛllɑh	3.959765	3.597669	3	6.0	2.0	0.0	0.0	0.337222	0.43655	0.003509	0.003359	1.160002	0.730089	1.244377	7.819975	0.019694	0.150238	0.169932	0.058995	0.407647	4.4e-05	0.002663	0.011149	0.028258	0.039407	0.056862	0.102088	3.8e-05	5.2e-05	0.130526	0.008545	0.12198	25.0	50.0	0.998972	0.995638	0.000303	35.0	0.116667
چرای	چرای	çɛrɑy	3.843618	3.58474	4	5.0	2.0	0.0	0.0	0.476039	0.50703	0.000899	0.0	1.086541	0.201248	1.209679	7.819975	0.022249	0.122373	0.144622	0.081605	0.394856	6.9e-05	4.3e-05	0.021993	0.012021	0.034013	0.075811	0.03899	3.7e-05	3.7e-05	0.110608	0.000256	0.110353	0.0	0.0	0.996878	0.985075	0.000815	0.0	0.09
چنای	چنای	çɛnɑy	1.537521	3.186821	4	5.0	2.0	0.0	0.0	0.476052	0.516907	0.0	0.000436	1.015718	0.468737	0.894122	7.819975	0.025585	0.12033	0.145914	0.081605	0.394856	3e-05	1.8e-05	0.022507	0.01198	0.034487	0.075811	0.03899	1.6e-05	1.6e-05	0.111427	0.003078	0.108349	25.0	50.0	0.98983	0.949249	0.00254	43.0	0.42
لای	لای	lɑy	36.324356	4.560198	3	3.0	1.0	0.0	0.0	0.639483	0.445888	0.003509	0.003359	0.80039	0.180014	1.082731	8.188969	0.025191	0.160753	0.185944	0.058995	0.394856	0.002267	0.004036	0.023811	0.020145	0.043956	0.056862	0.03899	0.001959	0.000671	0.141988	0.00138	0.140608	3.0	3.0	0.98673	0.908379	0.002343	11.0	0.166667
له	له	lɛh	60.17538	4.779419	2	3.0	1.0	0.0	0.0	0.498484	0.684917	0.003509	0.003359	0.839896	1.356541	1.450925	7.450982	0.030578	0.224025	0.254603	0.058995	0.407647	0.002161	0.040404	0.022431	0.038025	0.060456	0.056862	0.102088	0.000551	0.001097	0.194147	0.008147	0.186	0.0	0.0	0.997929	0.99073	0.000576	2.0	0.14
گی	گی	ɡe	5.372453	3.730173	2	2.0	1.0	0.0	0.0	0.422787	0.017538	0.002227	0.003431	0.998914	0.270378	1.386481	6.891865	0.063767	0.21579	0.279557	0.115115	0.394856	0.012419	0.036724	0.056297	0.011212	0.067509	0.112067	0.022373	0.000526	5e-05	0.212048	0.00747	0.204578	2.0	2.0	0.988581	0.941081	0.002694	10.0	0.143333
چوی	چوی	çuy	4.058349	3.608349	3	3.0	1.0	1.0	0.0	0.913214	0.587017	0.0	0.0	1.813874	0.168276	1.018606	7.381217	0.0281	0.145366	0.173466	0.081605	0.394856	0.000102	4.5e-05	0.025873	0.016075	0.041948	0.075811	0.03899	3.9e-05	3.9e-05	0.131518	0.002226	0.129291	25.0	50.0	0.996746	0.987095	0.001018	110.0	0.53
ورسای	ورسای	vɛrsɑy	5.087527	3.706507	5	6.0	2.0	0.0	0.0	0.760751	0.563079	0.009398	0.407136	1.086541	0.201248	1.141793	7.819975	0.024145	0.096013	0.120158	0.11145	0.394856	5.5e-05	5.5e-05	0.019407	0.010002	0.029409	0.101134	0.03899	4.8e-05	4.8e-05	0.090749	0.004738	0.086011	25.0	40.0	0.994548	0.975976	0.001517	25.0	0.206667
زره	زره	zɛrɛh	32.520997	4.512164	3	5.0	2.0	0.0	0.0	0.32767	0.816176	0.002124	0.67607	1.106294	0.789511	1.078129	7.450982	0.035321	0.171657	0.206978	0.102901	0.407647	0.000431	0.000302	0.028127	0.02296	0.051087	0.106584	0.102088	0.000373	0.000262	0.155891	0.007194	0.148697	21.0	21.0	0.993634	0.967309	0.001563	31.0	0.163333
فارادی	فارادی	fɑrɑde	5.115063	3.708851	6	6.0	3.0	0.0	0.0	0.494881	0.084925	0.001172	0.000351	0.568779	0.292035	1.640903	7.756601	0.023916	0.084274	0.10819	0.126929	0.394856	5.6e-05	5.6e-05	0.022483	0.004261	0.026744	0.120228	0.022373	4.8e-05	4.8e-05	0.081447	0.001434	0.080013	25.0	50.0	0.997334	0.987881	0.000729	25.0	0.226667
وی	وی	ve	1661.781927	6.220574	2	2.0	1.0	0.0	0.0	1.369662	0.18822	0.018797	0.00498	0.998914	0.270378	1.471195	6.891865	0.065805	0.218027	0.283832	0.11145	0.394856	0.02016	0.041197	0.055161	0.015574	0.070735	0.101134	0.022373	0.009188	0.008775	0.213097	0.010644	0.202452	11.0	11.0	0.986706	0.922412	0.002728	13.0	0.15
گرای	گرای	ɡarɑy	7.171369	3.855602	4	5.0	2.0	0.0	0.0	0.477492	0.244765	0.002013	0.001715	1.086541	0.237881	1.253899	8.075093	0.040708	0.122416	0.163123	0.115115	0.394856	0.000448	0.000214	0.028826	0.012028	0.040853	0.112067	0.03899	6.6e-05	7.3e-05	0.12227	0.011882	0.110388	25.0	41.0	0.958371	0.813795	0.008783	18.0	0.303333
ورجینیا	ورجینیا	vɛrjiniya	0.562695	2.750273	7	9.0	4.0	0.0	0.0	0.663394	0.301735	0.009568	0.008878	1.473483	0.495838	0.902161	7.567277	0.01723	0.034484	0.051715	0.11145	0.196007	7e-06	7e-06	0.012923	9.2e-05	0.013015	0.101134	0.000652	6e-06	6e-06	0.0387	0.004307	0.034393							
چای	چای	çɑy	120.332035	5.080381	3	3.0	1.0	0.0	0.0	0.63469	0.507608	0.0	0.0	0.80039	0.180014	1.018606	8.188969	0.032569	0.159748	0.192318	0.081605	0.394856	0.001501	0.001022	0.029888	0.020216	0.050105	0.075811	0.03899	0.000971	0.000885	0.142213	0.002681	0.139532	25.0	50.0	0.98979	0.945558	0.002344	50.0	0.203333
چاردونای	چاردونای	çɑrdɔnɑy	0.256353	2.408838	8	8.0	3.0	0.0	0.0	0.608696	0.330435	0.000572	0.000642	0.57897	0.496577	1.169191	8.18326	0.012497	0.060212	0.072709	0.081605	0.394856	3e-06	3e-06	0.011519	0.007486	0.019005	0.075811	0.03899	3e-06	3e-06	0.053704	0.000978	0.052726							
فرندلی	فرندلی	fɛrɛndly	2.03745	3.309087	6	8.0	2.0	0.0	0.0	0.142583	0.436226	0.000899	0.0	0.686346	0.111241	0.754698	7.450982	0.029542	0.07636	0.105902	0.126929	0.394856	2.4e-05	2.4e-05	0.023143	0.004913	0.028056	0.120228	0.03899	2.1e-05	2.1e-05	0.077847	0.006399	0.071448	2.0	2.0	0.993079	0.960823	0.001535	3.0	0.083333
ری	ری	re	85.119084	4.930027	2	2.0	1.0	0.0	0.0	0.419762	0.056468	0.001799	0.0	0.998914	0.270378	1.440013	6.891865	0.078549	0.243104	0.321653	0.141799	0.394856	0.0153	0.091352	0.074761	0.01163	0.086391	0.147505	0.022373	0.002016	0.000886	0.235263	0.003789	0.231474	5.0	5.0	0.997587	0.989381	0.000681	1.0	0.373333
چهارده	چهارده	çahɑrdah	33.777631	4.528629	6	8.0	3.0	0.0	0.0	0.505056	0.31708	0.001892	0.239366	0.692902	1.064677	1.032674	8.037134	0.017985	0.099427	0.117412	0.081605	0.407647	0.000529	0.000313	0.016099	0.015479	0.031578	0.075811	0.102088	0.000459	0.000271	0.085834	0.001886	0.083948	25.0	50.0	0.956836	0.841427	0.011735	69.0	0.78
گالووی	گالووی	ɡɑlɔve	3.12282	3.494547	6	6.0	3.0	0.0	0.0	0.954058	0.235325	0.008177	0.003924	0.992751	0.581635	1.653822	7.750892	0.020853	0.072724	0.093577	0.115115	0.394856	3.5e-05	3.5e-05	0.020151	0.005215	0.025366	0.112067	0.022373	3.1e-05	3.1e-05	0.068211	0.000701	0.067509							
پیاپی	پیاپی	pɛyɑpe	15.022227	4.176734	5	6.0	3.0	0.0	0.0	0.548639	0.353808	0.238307	0.009886	0.767067	0.268024	1.2081	7.510605	0.041346	0.079986	0.121332	0.144295	0.394856	0.00015	0.00015	0.029435	0.004214	0.033649	0.141666	0.022373	0.00013	0.00013	0.087683	0.011911	0.075772	5.0	5.0	0.926223	0.518797	0.008342	19.0	0.216667
یازده	یازده	yɑzdah	54.482335	4.736256	5	6.0	2.0	0.0	0.0	0.577552	0.560191	0.358318	0.015356	0.544034	1.270555	0.948259	8.075093	0.021276	0.113982	0.135257	0.078641	0.407647	0.000813	0.000492	0.016564	0.020965	0.037529	0.07264	0.102088	0.000706	0.000419	0.097728	0.004711	0.093017	25.0	50.0	0.952468	0.835511	0.013196	86.0	0.73
وحی	وحی	vahy	10.686945	4.028854	3	4.0	1.0	0.0	0.0	0.91326	0.568063	0.018797	0.00498	0.0	0.813296	0.0	7.961217	0.038845	0.133644	0.172488	0.11145	0.394856	0.000236	0.000675	0.038042	0.009863	0.047905	0.101134	0.03899	9.5e-05	9.5e-05	0.124583	0.000803	0.12378	25.0	44.0	0.99557	0.979686	0.001205	36.0	0.14
ششده	ششده	ʃɛʃdɛh	0.549226	2.739751	4	6.0	2.0	0.0	0.0	0.245916	0.474663	0.00133	0.000526	1.071051	0.761819	1.076783	7.450982	0.047276	0.151031	0.198306	0.185199	0.407647	7e-06	7e-06	0.035804	0.0195	0.055304	0.174303	0.102088	6e-06	6e-06	0.143003	0.011472	0.131531							
گنه	گنه	ɡɔnah	2.606253	3.416017	3	5.0	2.0	0.0	0.0	0.329513	0.351195	0.001113	0.002151	1.035472	1.26496	1.044978	8.066529	0.040786	0.170051	0.210837	0.115115	0.407647	3.7e-05	0.000183	0.03569	0.023352	0.059041	0.112067	0.102088	3.2e-05	2.6e-05	0.151796	0.005097	0.146699	5.0	5.0	0.992787	0.964643	0.001793	18.0	0.146667
فرای	فرای	fɛrɑy	8.039385	3.905223	4	5.0	2.0	0.0	0.0	0.475973	0.441982	0.000899	0.0	1.086541	0.201248	1.380326	7.819975	0.048885	0.122399	0.171284	0.126929	0.394856	0.001129	0.000146	0.036424	0.012021	0.048445	0.120228	0.03899	7.3e-05	7.3e-05	0.122839	0.012461	0.110378	5.0	5.0	0.992552	0.95805	0.001634	6.0	0.113333
قلموی	قلموی	ɢalammu	0.364876	2.562145	5	7.0	3.0	0.0	0.0	0.552155	0.144136	0.239476	0.245925	2.085569	0.456416	0.866258	7.504342	0.022224	0.087371	0.109595	0.100815	0.394856	5e-06	5e-06	0.027376	0.004814	0.03219	0.107559	0.03114	4e-06	4e-06	0.077405	-0.005152	0.082557	25.0	50.0	0.988199	0.947755	0.003154	56.0	0.263333
غیرموجه	غیرموجه	ɢerɛmɔvajjah	0.478477	2.679861	7	12.0	5.0	0.0	0.0	0.534975	0.333614	0.005665	0.147879	1.030252	0.782083	1.287579	7.687424	0.005674	0.062551	0.068226	0.024595	0.407647	6e-06	6e-06	0.01047	0.009777	0.020247	0.107559	0.102088	5e-06	5e-06	0.047979	-0.004795	0.052774	8.0	8.0	0.987243	0.92973	0.002781	19.0	0.22
ریپلی	ریپلی	riple	3.477782	3.541302	5	5.0	2.0	0.0	0.0	0.338733	0.079782	0.002654	0.00168	0.626953	0.149897	1.76548	7.16016	0.031463	0.091076	0.122539	0.141799	0.394856	3.9e-05	3.9e-05	0.031865	0.004797	0.036662	0.147505	0.022373	3.4e-05	3.4e-05	0.085877	-0.000402	0.086279	25.0	50.0	0.998407	0.992686	0.000435	14.0	0.186667
راموری	راموری	rɑmɔre	2.084808	3.319066	6	6.0	3.0	0.0	0.0	0.634254	0.176562	0.001887	0.000706	1.00432	0.642624	1.721874	7.750892	0.030884	0.084877	0.115761	0.141799	0.394856	2.4e-05	2.4e-05	0.030926	0.003891	0.034817	0.147505	0.022373	2.1e-05	2.1e-05	0.080944	-4.2e-05	0.080987							
فلیسیتی	فلیسیتی	fɛlisity	6.158186	3.789453	7	8.0	3.0	0.0	0.0	0.361914	0.469382	0.00117	0.270884	0.590417	0.309945	0.921711	7.435964	0.019043	0.06778	0.086824	0.126929	0.394856	6.6e-05	6.6e-05	0.021306	0.004953	0.026258	0.120228	0.03899	5.7e-05	5.7e-05	0.060566	-0.002262	0.062828							
فوی	فوی	fɔy	6.586326	3.818643	3	3.0	1.0	0.0	0.0	0.913126	0.592497	0.0	0.0	1.813874	0.336552	0.929353	8.171841	0.046495	0.145389	0.191884	0.126929	0.394856	0.000129	0.000114	0.045406	0.013707	0.059113	0.120228	0.03899	0.000112	9.2e-05	0.13277	0.001088	0.131682	16.0	16.0	0.992274	0.958473	0.001819	8.0	0.176667
رای	رای	raʔy	205.555407	5.312929	3	4.0	1.0	0.0	0.999795	0.634612	0.728699	0.001799	0.0	0.0	1.57612	0.0	7.961217	0.062632	0.16315	0.225782	0.141799	0.394856	0.00361	0.011227	0.055476	0.014115	0.069592	0.147505	0.03899	0.002191	0.002174	0.15619	0.007155	0.149034	18.0	18.0	0.896763	0.443938	0.013371	38.0	0.273333
فای	فای	fɑy	6.871146	3.837029	3	3.0	1.0	0.0	0.0	0.634602	0.399194	0.0	0.0	0.80039	0.180014	0.929353	8.188969	0.046917	0.159743	0.206659	0.126929	0.394856	0.001566	0.001005	0.044135	0.019944	0.06408	0.120228	0.03899	0.001361	7e-05	0.14258	0.002781	0.139798	20.0	20.0	0.971768	0.812324	0.004708	10.0	0.21
سیه	سیه	siyah	6.249727	3.795861	3	5.0	2.0	0.0	0.0	0.607248	0.567872	0.0	0.419476	0.919405	0.88461	1.021518	7.694836	0.065549	0.156619	0.222169	0.169645	0.407647	6.7e-05	0.002771	0.04649	0.023382	0.069873	0.204351	0.102088	5.8e-05	5.8e-05	0.152296	0.019059	0.133237	2.0	2.0	0.995488	0.978737	0.001179	10.0	0.086667
زه	زه	zɛh	4.652953	3.667729	2	3.0	1.0	0.0	0.0	0.491463	1.02285	0.002449	1.352141	0.839896	1.356541	1.463927	7.450982	0.052019	0.218652	0.270671	0.102901	0.407647	0.001137	0.029657	0.047298	0.037924	0.085222	0.106584	0.102088	0.003333	0.000793	0.185449	0.004721	0.180728	11.0	11.0	0.997152	0.987446	0.000801	13.0	0.15
وای	وای	vɑy	35.350023	4.54839	3	3.0	1.0	0.0	0.0	1.267878	0.48797	0.018797	0.00498	0.80039	0.180014	0.999698	8.188969	0.055417	0.164708	0.220125	0.11145	0.394856	0.006874	0.0159	0.049908	0.020017	0.069924	0.101134	0.03899	0.006109	0.000287	0.1502	0.005509	0.144691	4.0	4.0	0.993472	0.967604	0.001617	3.0	0.156667
نی	نی	ne	53.685951	4.729861	2	2.0	1.0	0.0	0.0	0.419789	0.081159	0.0	0.000872	0.998914	0.270378	1.395082	6.891865	0.155348	0.250844	0.406192	0.244687	0.394856	0.066008	0.106832	0.119193	0.0114	0.130593	0.237072	0.022373	0.001313	0.000427	0.275599	0.036155	0.239444	3.0	3.0	0.98896	0.938985	0.002414	9.0	0.08
جولای	جولای	julɑy	31.89563	4.503731	5	5.0	2.0	0.0	0.0	0.763758	0.298932	0.001754	0.00168	1.051527	0.095494	1.420366	7.389781	0.032724	0.096651	0.129375	0.130041	0.394856	0.000306	0.000297	0.029402	0.012192	0.041595	0.130254	0.03899	0.000265	0.000258	0.08778	0.003322	0.084459	25.0	50.0	0.969301	0.879098	0.008201	109.0	0.763333
جووی	جووی	jɔve	2.101523	3.322534	4	4.0	2.0	0.0	0.0	1.159917	0.304201	0.009398	0.00249	0.940829	0.662675	1.167793	7.531853	0.040771	0.109044	0.149815	0.130041	0.394856	2.4e-05	2.4e-05	0.04105	0.007805	0.048855	0.130254	0.022373	2.1e-05	2.1e-05	0.10096	-0.000279	0.10124							
ژیگولو	ژیگولو	ʒiɡulu	0.431182	2.634661	6	6.0	3.0	0.0	0.0	0.776673	0.044831	0.001912	0.002263	0.800725	0.040409	1.149987	6.869881	0.00141	0.022637	0.024047	0.008121	0.119438	6e-06	6e-06	0.001231	0.006625	0.007856	0.00709	0.03114	5e-06	5e-06	0.016191	0.000179	0.016012							
گوی	گوی	ɡuy	11.314774	4.053646	3	3.0	1.0	0.0	0.0	0.915152	0.339696	0.002227	0.003431	1.813874	0.0	1.091228	6.590593	0.046204	0.145841	0.192045	0.115115	0.394856	0.001661	0.00147	0.044323	0.018522	0.062845	0.112067	0.03899	0.001497	0.000226	0.1292	0.001881	0.127319	10.0	10.0	0.940972	0.725147	0.011371	16.0	0.333333
پونزده	پونزده	punzdah	17.595684	4.245406	6	7.0	2.0	0.0	0.0	0.480672	0.347597	0.000858	0.000526	0.887343	0.735706	0.970882	7.275905	0.027916	0.094939	0.122855	0.144295	0.407647	0.000184	0.000173	0.023014	0.01791	0.040924	0.141666	0.102088	0.000159	0.00015	0.081931	0.004901	0.07703	25.0	50.0	0.980082	0.878473	0.004126	90.0	0.39
هفده	هفده	hɛfdah	25.15048	4.400546	4	6.0	2.0	0.0	0.0	0.491419	0.487392	0.002838	0.35905	1.186304	0.981012	1.141614	7.706099	0.040054	0.140406	0.18046	0.14918	0.407647	0.000438	0.000239	0.039653	0.020518	0.060171	0.201815	0.102088	0.00038	0.000207	0.120289	0.0004	0.119889	25.0	50.0	0.951374	0.805495	0.011593	98.0	0.723333
هجده	هجده	hɛjdah	22.964223	4.361052	4	6.0	2.0	0.0	0.0	0.491521	0.498254	0.002838	0.35905	1.199027	1.148907	1.210047	7.706099	0.037709	0.140429	0.178139	0.14918	0.407647	0.000375	0.00022	0.039219	0.020516	0.059735	0.201815	0.102088	0.000325	0.000191	0.118404	-0.00151	0.119913	25.0	50.0	0.953359	0.810915	0.011193	77.0	0.7
پیمانکارهای	پیمانکارهای	pemɑnkɑrhɑy	0.521055	2.716884	11	11.0	4.0	0.0	0.0	0.533012	0.238666	0.002334	0.179791	0.53919	0.163451	0.990943	7.864693	0.019586	0.047501	0.067087	0.144295	0.394856	7e-06	7e-06	0.017029	0.005485	0.022514	0.141666	0.03899	6e-06	6e-06	0.044573	0.002557	0.042016							
تروی	تروی	tɛrɔy	16.102178	4.206885	4	5.0	2.0	0.0	0.0	0.684923	0.654386	0.00157	0.170903	1.593283	0.279517	1.219516	7.811412	0.053818	0.113923	0.167741	0.178211	0.394856	0.000473	0.000333	0.048016	0.008303	0.056319	0.189863	0.03899	0.000143	0.000138	0.111423	0.005803	0.10562	25.0	50.0	0.998717	0.994585	0.000379	35.0	0.133333
همینگوی	همینگوی	hɛminɡve	4.887143	3.689055	7	8.0	3.0	0.0	0.0	0.652718	0.304993	0.008274	0.241381	0.713922	0.214935	0.958785	7.257101	0.036647	0.062627	0.099274	0.14918	0.394856	5.3e-05	5.3e-05	0.029552	0.003928	0.03348	0.201815	0.022373	4.6e-05	4.6e-05	0.065794	0.007095	0.058699	25.0	50.0	0.994201	0.975843	0.001704	93.0	0.536667
وجه	وجه	vajh	140.655751	5.148157	3	4.0	1.0	0.0	0.0	0.960871	0.356058	0.018797	0.00498	0.0	0.0	0.0	7.961217	0.04241	0.145913	0.188323	0.11145	0.407647	0.001239	0.011026	0.03752	0.026259	0.063779	0.101134	0.102088	0.001076	0.000983	0.124544	0.00489	0.119654	2.0	2.0	0.986413	0.913745	0.002567	4.0	0.086667
زردپی	زردپی	zardpe	0.262576	2.419256	5	6.0	2.0	0.0	0.0	0.168253	0.249488	0.001224	0.67607	1.116387	0.135189	0.87783	7.426541	0.021323	0.079835	0.101158	0.102901	0.394856	4e-06	4e-06	0.030193	0.00413	0.034323	0.106584	0.022373	3e-06	3e-06	0.066835	-0.00887	0.075705	25.0	50.0	0.981082	0.907549	0.004441	69.0	0.476667
شونزده	شونزده	ʃunzdah	6.635927	3.821902	6	7.0	2.0	0.0	0.0	0.480697	0.342874	0.00133	0.000526	0.887343	0.735706	0.9496	7.275905	0.034573	0.094922	0.129496	0.185199	0.407647	9.5e-05	7.1e-05	0.026154	0.017897	0.044051	0.174303	0.102088	8.2e-05	6.1e-05	0.085445	0.00842	0.077025	25.0	50.0	0.98115	0.871436	0.003557	82.0	0.33
پیمانهای	پیمانهای	pemɑnhɑy	0.260343	2.415546	8	8.0	3.0	0.0	0.0	0.598954	0.297609	0.002008	0.239721	0.585949	0.134199	1.063626	7.756601	0.02686	0.063803	0.090662	0.144295	0.394856	3e-06	3e-06	0.023347	0.007537	0.030884	0.141666	0.03899	3e-06	3e-06	0.059778	0.003513	0.056265	25.0	45.0	0.970033	0.837488	0.006701	48.0	0.61
قبای	قبای	ɢabɑy	0.656319	2.817115	4	5.0	2.0	0.0	0.0	0.477227	0.354179	0.000674	0.366149	1.08418	0.365455	1.075067	8.075093	0.030188	0.120106	0.150294	0.100815	0.394856	0.000227	9.1e-05	0.039068	0.012172	0.05124	0.107559	0.03899	0.000196	7e-06	0.099055	-0.00888	0.107934	25.0	33.0	0.978264	0.879894	0.004729	46.0	0.396667
جه	جه	jah	10.223939	4.009618	2	3.0	1.0	1.0	0.0	0.491365	0.508107	0.0	0.0	0.839896	1.413976	1.339369	7.706099	0.071341	0.213357	0.284698	0.130041	0.407647	0.012641	0.019067	0.059175	0.039075	0.09825	0.130254	0.102088	0.005576	0.002397	0.186447	0.012166	0.174281	4.0	4.0	0.978557	0.875471	0.004249	10.0	0.136667
زیباروی	زیباروی	zibɑruy	0.363359	2.560336	7	7.0	3.0	0.0	0.0	0.66342	0.355092	0.001865	0.450714	0.836151	0.083736	1.399687	7.402672	0.019731	0.065256	0.084987	0.102901	0.394856	1e-05	5e-06	0.019614	0.00979	0.029404	0.106584	0.03899	8e-06	4e-06	0.055582	0.000117	0.055465	25.0	37.0	0.990292	0.942736	0.002076	67.0	0.143333
لارو	لارو	lɑrv	5.307285	3.724872	4	4.0	1.0	0.0	0.0	0.744744	0.19568	0.003509	0.003359	0.0	0.0	0.0	8.188969	0.018535	0.040672	0.059208	0.058995	0.119438	5.8e-05	0.000149	0.017562	0.003085	0.020647	0.056862	0.011059	5e-05	5e-05	0.038561	0.000973	0.037587	25.0	50.0	0.984105	0.907556	0.003225	55.0	0.276667
پانزده	پانزده	pɑnzdah	43.273632	4.636223	6	7.0	2.0	0.0	0.0	0.34141	0.362377	0.000858	0.000526	0.419948	0.735706	0.970882	8.075093	0.031025	0.095044	0.126069	0.144295	0.407647	0.000616	0.000392	0.026085	0.017979	0.044064	0.141666	0.102088	0.000569	0.00034	0.082006	0.00494	0.077065	25.0	50.0	0.963435	0.868598	0.010644	101.0	0.77
ترینیتی	ترینیتی	tɛrinity	6.393402	3.805732	7	8.0	3.0	0.0	0.0	0.359873	0.417373	0.001046	0.114226	0.533555	0.089843	1.010913	7.435964	0.03069	0.067928	0.098618	0.178211	0.394856	6.8e-05	6.8e-05	0.029886	0.00495	0.034836	0.189863	0.03899	5.9e-05	5.9e-05	0.063782	0.000804	0.062978	25.0	50.0	0.99778	0.990296	0.000631	51.0	0.346667
پوبوی	پوبوی	pɔbɔy	0.255869	2.408018	5	5.0	2.0	0.0	0.0	0.927866	0.486037	0.000674	0.0	1.443021	0.692641	1.117802	8.171841	0.033155	0.087591	0.120747	0.144295	0.394856	3e-06	3e-06	0.034159	0.008513	0.042673	0.141666	0.03899	3e-06	3e-06	0.078074	-0.001004	0.079078							
