WORD_norm	WORD	Transcription1	PerMilFreq	zipf	Length	AvePhonLength	n_syllables	H_GPC_word	H_PGC_word	H_GPC_grapheme_word	H_PGC_grapheme_word	H_GPC_onset_word	H_PGC_onset_word	H_GPC_rime_word	H_PGC_rime_word	H_GPC_OVC_word	H_PGC_OVC_word	OUF	OUB	OU	MAXOUF	MAXOUB	MINOUF	MINOUB	PUF	PUB	PU	MAXPUF	MAXPUB	MINPUF	MINPUB	OU_PU_Mismatch	OUF_PUF_Mismatch	OUB_PUB_Mismatch	SN_k25	SN_k50	Entropy_beta5	Entropy_beta10	Dispersion_k50	Hubness_k50	ClusteringCoeff_k25
پلوتارک	پلوتارک	pɛlutɑrk	1.882647	3.274769	7	8.0	3.0	0.0	0.0	0.426624	0.250558	0.001616	0.115055	0.918112	0.543706	0.976114	7.410181	0.022213	0.017959	0.040172	0.144295	0.100215	2.2e-05	2.2e-05	0.02233	0.014148	0.036479	0.141666	0.097593	1.9e-05	1.9e-05	0.003694	-0.000117	0.00381	25.0	50.0	0.965693	0.839728	0.00727	81.0	0.483333
نیتروگلیسیرین	نیتروگلیسیرین	nitrɔɡɛlisirin	0.488438	2.68881	13	14.0	6.0	0.0	0.0	0.406095	0.276492	0.001556	0.136159	0.691727	0.356754	1.743484	7.556107	0.023997	0.038058	0.062055	0.244687	0.347165	6e-06	6e-06	0.021082	0.035269	0.056351	0.237072	0.355901	5e-06	5e-06	0.005705	0.002916	0.002789	25.0	50.0	0.997378	0.989412	0.000806	39.0	0.533333
سخنرانیه	سخنرانیه	sɔxanrɑniyɛ	2.284686	3.358827	8	11.0	5.0	0.0	0.0	0.360862	0.371648	0.00045	0.168712	1.029647	0.374494	0.99414	7.840293	0.023487	0.059726	0.083213	0.169645	0.407647	2.6e-05	2.6e-05	0.024339	0.051224	0.075563	0.204351	0.400045	2.3e-05	2.3e-05	0.00765	-0.000853	0.008502							
ورودش	ورودش	vɔrudaʃ	4.615592	3.664227	5	7.0	3.0	0.0	0.0	0.760217	0.177728	0.007437	0.002011	1.261608	0.432117	1.413211	7.57455	0.02537	0.03727	0.06264	0.11145	0.160357	7.1e-05	5.1e-05	0.017858	0.039024	0.056882	0.101134	0.16343	4.4e-05	4.4e-05	0.005758	0.007512	-0.001754	21.0	21.0	0.943588	0.703442	0.009606	43.0	0.303333
جومکی	جومکی	jumki	0.889071	2.948936	5	5.0	2.0	0.0	0.0	0.549722	0.057183	0.001655	0.0	1.027914	0.001126	1.473692	7.009524	0.032239	0.085272	0.117511	0.130041	0.394856	1.1e-05	1.1e-05	0.028997	0.077712	0.10671	0.130254	0.361663	1e-05	1e-05	0.010801	0.003241	0.00756							
عظمی	عظمی	ʔɔzmɑ	1.26869	3.103356	4	5.0	2.0	0.0	0.0	0.211051	0.781741	0.004462	1.036313	2.353056	0.891493	0.605297	8.180405	0.025302	0.108363	0.133665	0.099892	0.394856	1.5e-05	5.9e-05	0.084591	0.036788	0.121379	0.362463	0.172279	1.3e-05	1.3e-05	0.012285	-0.05929	0.071575	2.0	2.0	0.966318	0.756856	0.004454	15.0	0.086667
بدبختا	بدبختا	badbaxtɑ	1.87964	3.274075	6	8.0	3.0	0.0	0.0	0.177735	0.112057	0.001346	0.113935	1.208824	0.442125	1.333423	8.037134	0.068793	0.034423	0.103216	0.350873	0.196007	0.000119	2.2e-05	0.070073	0.023657	0.09373	0.37001	0.172279	0.000103	1.9e-05	0.009487	-0.00128	0.010767	25.0	50.0	0.997562	0.989513	0.000703	235.0	0.223333
پیشکشت	پیشکشت	piʃkɛʃat	0.585778	2.767733	6	8.0	3.0	0.0	0.0	0.141191	0.20137	0.001418	0.0	0.856283	0.217055	1.287968	7.613551	0.037988	0.05767	0.095658	0.144295	0.308994	7e-06	7e-06	0.02494	0.061926	0.086866	0.141666	0.315786	6e-06	6e-06	0.008792	0.013048	-0.004256							
فرستادنت	فرستادنت	fɛrɛstɑdanat	2.459539	3.390854	8	12.0	5.0	0.0	0.0	0.133284	0.368988	0.000971	0.068746	1.109447	0.618816	1.138298	7.802673	0.024002	0.041332	0.065334	0.126929	0.308994	2.8e-05	2.8e-05	0.016655	0.042675	0.05933	0.120228	0.315786	2.4e-05	2.4e-05	0.006005	0.007347	-0.001343							
گزارشات	گزارشات	ɡɔzɑrɛʃɑt	22.189235	4.346142	7	9.0	4.0	0.0	0.0	0.305134	0.415828	0.001855	0.338893	0.897446	0.672079	1.123219	8.00019	0.02041	0.053221	0.073631	0.115115	0.308994	0.000247	0.000214	0.025172	0.041692	0.066864	0.112067	0.315786	0.000214	0.000185	0.006767	-0.004762	0.011529	25.0	50.0	0.950824	0.698254	0.007352	83.0	0.27
اندرسون	اندرسون	ʔandɛrsɔn	29.048959	4.463131	7	9.0	3.0	0.0	0.985619	0.423667	0.533222	0.007063	0.960285	0.833003	0.613205	1.891898	7.861347	0.054517	0.067765	0.122281	0.308518	0.347165	0.000273	0.000304	0.067044	0.044	0.111044	0.362463	0.355901	0.000253	0.000253	0.011237	-0.012528	0.023765	25.0	50.0	0.998908	0.995483	0.000329	72.0	0.356667
پرداخت	پرداخت	pardɑxt	442.121498	5.645542	6	7.0	2.0	0.0	0.0	0.177708	0.139579	0.000858	0.000526	0.686346	0.147874	1.126197	8.075093	0.031987	0.057212	0.0892	0.144295	0.308994	0.003861	0.003188	0.031198	0.049805	0.081003	0.141666	0.315786	0.003362	0.002775	0.008197	0.000789	0.007408	25.0	40.0	0.979659	0.908813	0.005107	71.0	0.31
دیسکو	دیسکو	diskɔ	8.151977	3.911263	5	5.0	2.0	0.0	0.0	0.54951	0.350028	0.002513	0.000526	0.57634	0.1977	1.6891	7.800148	0.067713	0.026595	0.094308	0.281878	0.119438	8.8e-05	8.5e-05	0.065576	0.020066	0.085642	0.278657	0.088853	7.6e-05	7.4e-05	0.008666	0.002137	0.006529	10.0	10.0	0.994735	0.975608	0.001404	41.0	0.123333
میفرستیم	میفرستیم	mifɛrɛstim	18.734184	4.272635	8	11.0	4.5	1.0	0.0	0.210348	0.378749	0.001301	0.079723	0.992812	0.441218	1.083344	7.497663	0.076845	0.062226	0.139071	0.377749	0.349121	0.000203	0.000187	0.060713	0.065579	0.126292	0.3953	0.38839	0.000167	0.000162	0.012779	0.016132	-0.003353	25.0	50.0	0.974825	0.879197	0.006295	51.0	0.593333
نظمی	نظمی	nazmi	14.410055	4.158666	4	5.0	2.0	0.0	0.0	0.210325	0.295242	0.001032	0.001494	1.035639	1.145492	1.188177	7.694836	0.067409	0.108395	0.175804	0.244687	0.394856	0.000158	0.000189	0.079617	0.080035	0.159652	0.237072	0.361663	0.000137	0.000125	0.016153	-0.012207	0.02836	12.0	12.0	0.980914	0.902528	0.004202	30.0	0.143333
